,rest_name,locality,rating,cuisines,cost_for_two,votes
930,Bin Harif Dabeli                                     ,Bodakdev,3.8,"['Fast Food', 'Street Food']",300,93
931,Catch 22                                     ,Airport Gandhinagar Highway,2.4,['Fast Food'],400,83
932,Smokin' Joe's                                     ,Bopal,3.9,"['Pizza', 'Fast Food']",400,72
933,Mayur Bhajiya                                     ,Gurukul,3.6,['Street Food'],100,119
934,Shree Sikotar Restaurant                                     ,Vastral,3.5,"['Gujarati', 'North Indian', 'Chinese']",300,118
935,The Golden BBQ                                     ,Chandkheda,3.8,"['BBQ', 'North Indian', 'Fast Food']",300,92
936,August - The Waterside                                     ,"The Waterside, Adalaj",3.5,"['Continental', 'North Indian']","1,000",81
937,Rendezvouz                                     ,Satellite,4.1,"['North Indian', 'Italian', 'Mediterranean', 'Mexican', 'Desserts']",750,77
938,079- The Food Factory                                     ,Chandkheda,3.8,"['Rolls', 'North Indian', 'Lebanese']",500,95
939,Gamthi                                     ,Gota,2.4,"['North Indian', 'Chinese', 'Fast Food']",650,80
940,MS Food                                     ,Mani Nagar,3.6,['Fast Food'],250,117
941,Crush Coffee                                     ,Bodakdev,4.1,"['Desserts', 'Beverages', 'Coffee']",500,105
942,Idliwale                                     ,Vastrapur,3.8,['South Indian'],300,87
943,Prince Restaurant - Naranpura                                     ,Naranpura,3.6,"['South Indian', 'North Indian', 'Fast Food']",500,117
944,Royal Landmark                                     ,Mani Nagar,3.7,"['North Indian', 'Chinese', 'Fast Food']",550,122
945,Mertiya Sweet Home                                     ,Shahibagh,3.9,['Mithai'],250,91
946,Shivabhai Dhosawala                                     ,Paldi,3.5,['South Indian'],300,105
947,Udipi Jaya                                     ,Lal Darwaja,4,"['South Indian', 'Fast Food']",350,94
948,Signature Takeaways                                     ,Navrangpura,3.1,"['North Indian', 'Chinese']",500,108
949,Rio Restaurant & Banquet                                     ,Ellis Bridge,3.5,"['North Indian', 'Continental']",500,78
950,Baghone Restaurant                                     ,Vatva,4,"['North Indian', 'Continental']",600,99
951,Ambrosia Restaurant                                     ,Ellis Bridge,3.6,"['North Indian', 'Chinese', 'South Indian']",600,102
952,Street Cafe 34                                     ,Satellite,3.4,"['Fast Food', 'Beverages']",350,107
953,Cake Culture                                     ,Satellite,3.8,"['Bakery', 'Desserts']",500,86
954,Shri Jay Jalaram Khaman House                                     ,Mani Nagar,4.4,"['Street Food', 'Gujarati', 'Fast Food']",150,112
955,Haveli Theater Bistro                                     ,Bodakdev,4,"['North Indian', 'Italian', 'Chinese']",500,58
956,Sphere Lounge                                     ,Ambavadi,4,"['Italian', 'Mexican', 'North Indian', 'Cafe']","1,100",88
957,Gamdu Restaurant                                     ,Adalaj,3.4,"['North Indian', 'Gujarati', 'Continental']",600,87
958,Rasna Buzz                                     ,Bopal,3.9,"['Beverages', 'Fast Food', 'Street Food']",350,101
959,Quick Bite                                     ,Gurukul,3.3,"['North Indian', 'Chinese']",600,97
960,Idly Vidly                                     ,"SOBO Center, Bopal",3.5,['South Indian'],400,100
961,Paubhajiwala                                     ,Airport Gandhinagar Highway,3,['Street Food'],350,110
962,The Hangout Cafe                                     ,Airport Gandhinagar Highway,3.5,['Cafe'],550,109
963,Cube Lounge                                     ,"Club O7, Bopal",3.6,"['North Indian', 'South Indian', 'Continental']","1,000",62
964,Cafe D'Mour                                     ,Chandkheda,3.1,['Cafe'],550,87
965,Paratha Hai Ji                                     ,Memnagar,3.6,['North Indian'],350,110
966,Mayur Restaurant II                                     ,Odhav,3.9,"['North Indian', 'Chinese']",550,135
967,Asif Fry Centre                                     ,Sarkhej,3.7,['North Indian'],500,109
968,Baba Egg's Kitchen                                     ,Thaltej,3.8,['Fast Food'],600,104
969,Hotel Winsome                                     ,Isanpur,3.7,['North Indian'],500,125
970,Brown & Happy                                     ,Navrangpura,3.8,"['Bakery', 'Desserts']",300,79
971,Jay Ambe Sweets and Namkeen                                     ,Navrangpura,4.1,"['Mithai', 'Street Food']",150,103
972,Delite Restaurant                                     ,Chandkheda,3.6,"['North Indian', 'Chinese', 'Beverages']",500,95
973,Kolkata Biryani                                     ,Prahlad Nagar,2.8,['Biryani'],400,106
974,Wrappido                                     ,Mani Nagar,3.3,"['Lebanese', 'North Indian', 'Wraps', 'Kebab']",500,99
975,Andy's Sandwich                                     ,Naranpura,3.9,['Fast Food'],250,85
976,Southbull                                     ,Naranpura,3.4,"['South Indian', 'Sandwich', 'Desserts']",350,101
977,Fire On Wheels                                     ,Food Truck Park,3.8,"['Arabian', 'Fast Food']",400,106
978,La Vista - Cama Hotel                                     ,"Cama Hotel, Bhadra",3.7,"['North Indian', 'Chinese', 'Mughlai', 'Continental']","1,000",72
979,Vrundavan Garden Restaurant                                     ,Airport Gandhinagar Highway,3.5,"['Gujarati', 'South Indian', 'Fast Food', 'North Indian']",600,78
980,The Poutinerie                                     ,Bodakdev,3.8,['Fast Food'],400,70
981,Gajanand Pauva House                                     ,C G Road,3.8,"['Street Food', 'Fast Food', 'Beverages']",300,113
982,Tea Post                                     ,C G Road,3.6,"['Fast Food', 'Beverages']",150,97
983,Nishat Restaurant                                     ,Bhadra,3.4,"['North Indian', 'Chinese']",750,102
984,Anand Bhajipav And Pulav                                     ,Naranpura,3.7,"['Street Food', 'Fast Food']",200,118
985,Maruti Dhosa Hub                                     ,Mani Nagar,3.3,['South Indian'],350,107
986,7 Square Restaurant                                     ,Vastral,2.7,"['North Indian', 'Chinese']",800,89
987,New Prince Bhajipav Corner                                     ,Bodakdev,3.6,"['Fast Food', 'South Indian']",300,104
988,Indi Genius Restrau Cafe                                     ,Prahlad Nagar,3.7,"['Italian', 'Chinese', 'Fast Food', 'North Indian', 'Malwani', 'Beverages']",800,69
989,Khoppcha Cafe                                     ,Thaltej,3.6,"['Cafe', 'Sandwich', 'Fast Food']",450,77
990,Tibb's Frankie                                     ,"Himalaya Mall, Gurukul",2.9,['Fast Food'],200,95
991,BR Chicken House                                     ,Ellis Bridge,3.2,['North Indian'],350,102
992,Egg Town                                     ,Thaltej,3.8,['Fast Food'],450,93
993,Baker's Den                                     ,"Shivalik Plaza, Vastrapur",3.8,"['Bakery', 'Desserts', 'Fast Food']",300,76
994,Aazad                                     ,Relief Road,3.8,"['Gujarati', 'North Indian', 'Street Food']",300,104
995,Shivam Bhojnalay                                     ,Gurukul,3,['North Indian'],300,115
996,Goras                                     ,Gota,2.4,"['Gujarati', 'North Indian', 'Chinese']",600,93
997,PJ's Cafe                                     ,C G Road,3.8,['Cafe'],600,71
998,Arpit Restaurant                                     ,Naranpura,3.5,"['North Indian', 'Chinese', 'Fast Food']",500,109
999,Ashish Restaurant                                     ,Kankaria,3.7,"['North Indian', 'Maharashtrian', 'Chinese']",650,119
1000,Al-Hamza                                     ,Kankaria,3.9,"['Mughlai', 'Arabian', 'North Indian']",500,115
