,rest_name,locality,rating,cuisines,cost_for_two,votes
0,The Black Chimney                                     ,Thaltej,3.7,"['North Indian', 'Chinese', 'Fast Food']",550,747
1,Jay Bhavani Vadapav                                     ,Satellite,3.8,"['Fast Food', 'Street Food', 'Beverages']",300,1024
2,McDonald's                                     ,"Safal Pegasus, Prahlad Nagar",4.1,"['Burger', 'Fast Food']",500,879
3,Shree Annpurna                                     ,Mani Nagar,4.2,"['North Indian', 'South Indian', 'Chinese', 'Street Food']",500,2062
4,Eat Punjab                                     ,Chandkheda,3.7,"['North Indian', 'Chinese', 'Fast Food']",750,1519
5,Shakti - The Sandwich Shop                                     ,"Aryan Work Spaces, Gulbai tekra",4.1,"['Sandwich', 'Fast Food', 'Beverages']",500,935
6,Anjoy Latenight Meals                                     ,Vastrapur,4.2,"['North Indian', 'Fast Food']",500,1450
7,Swati Snacks                                     ,Ellis Bridge,4.8,"['Fast Food', 'Street Food', 'South Indian']",600,1628
8,Jassi De Parathe                                     ,Vastrapur,4.4,['North Indian'],750,1907
9,Gwalia Sweets                                     ,"Venus Atlantis, Prahlad Nagar",4.1,"['Fast Food', 'Street Food', 'North Indian', 'Chinese', 'Mithai']",450,696
10,I Love Sandwich House                                     ,Bodakdev,4.1,"['Cafe', 'Sandwich']",900,1391
11,Sam's Pizza                                     ,Navrangpura,3.9,"['Pizza', 'Fast Food']",600,769
12,Burger King                                     ,Gurukul,4,"['Burger', 'Fast Food', 'Beverages']",500,1044
13,Domino's Pizza                                     ,Isanpur,3.8,"['Pizza', 'Fast Food']",600,1409
14,Magic Chicken                                     ,Sarkhej,4.5,"['Arabian', 'Roast Chicken']",600,1449
15,La Pino'z Pizza                                     ,Bodakdev,4.5,"['Pizza', 'Fast Food']",800,2687
16,Radhika's Authentic South Indian Food                                     ,Gurukul,4.2,['South Indian'],400,938
17,We Desi                                     ,"Venus Atlantis, Prahlad Nagar",4,"['Mexican', 'North Indian', 'Italian', 'Asian']",900,1236
18,Mocha                                     ,Bodakdev,4.9,"['Cafe', 'Italian', 'North Indian']","1,200",2955
19,Honest                                     ,Prahlad Nagar,4,"['North Indian', 'South Indian', 'Fast Food', 'Chinese']",700,1173
20,Food On Way                                     ,Satellite,3.8,"['North Indian', 'Chinese', 'Fast Food']",400,2944
21,Daawat-E-Khaas                                     ,Navrangpura,4.3,"['North Indian', 'Mughlai', 'Seafood', 'Biryani']","1,000",705
22,Jugaad Nights                                     ,Navrangpura,4.2,"['North Indian', 'Fast Food', 'Chinese']",500,1934
23,Punjabi By Heart                                     ,Vastrapur,3.1,['North Indian'],750,682
24,The Blue Oven                                     ,Vastrapur,4.3,"['Pizza', 'Italian', 'Continental', 'Beverages']",700,924
25,Ph Se Food                                     ,Bodakdev,4.6,"['North Indian', 'Chinese', 'Fast Food']",900,2262
26,650 - The Global Kitchen                                     ,Ambavadi,4.4,"['North Indian', 'Italian', 'Continental']","1,200",2223
27,Burgometry                                     ,Navrangpura,4,"['Fast Food', 'Beverages']",300,909
28,Fozzie's Pizzaiolo. Cafe. Deli                                     ,Bodakdev,4.2,"['Cafe', 'Italian', 'Mexican', 'Desserts']",900,1862
29,Wok On Fire                                     ,Navrangpura,4.1,"['Chinese', 'Thai', 'Asian']","1,200",1433
30,Buttercupp                                     ,Vastrapur,4.9,"['Desserts', 'Bakery']",300,1573
31,Standard's Punjabi Khana                                     ,Satellite,3.6,"['North Indian', 'Chinese', 'Gujarati']",450,1298
32,The Shake Maker                                     ,C G Road,4.3,"['Beverages', 'Fast Food', 'Desserts']",400,731
33,Bikanervala                                     ,Satellite,3.9,"['Street Food', 'North Indian', 'Chinese', 'Mithai', 'South Indian']",600,694
34,City Corner                                     ,Mani Nagar,4.2,"['Fast Food', 'Chinese', 'North Indian', 'South Indian', 'Beverages']",700,921
35,1944 Restaurant By Havmor                                     ,Bodakdev,4.2,"['North Indian', 'Continental', 'Desserts']","1,000",1150
36,Cafe De Italiano                                     ,Bodakdev,4.3,"['Cafe', 'Italian', 'Desserts']",950,1007
37,Puffizza                                     ,Gurukul,4.3,"['Pizza', 'Fast Food']",700,1379
38,RP's Pizzeria                                     ,Navrangpura,4.4,"['Pizza', 'Continental', 'Italian', 'Fast Food', 'Beverages']",550,1854
39,Cafe Upper Crust                                     ,Navrangpura,4.3,"['Continental', 'Asian', 'North Indian']","1,000",1109
40,Pleasure Trove                                     ,Ashram Road,4.1,"['North Indian', 'Mughlai', 'Chinese']","1,000",1229
41,9834 The Fruit Truck                                     ,Satellite,4.4,"['Juices', 'Beverages', 'Healthy Food', 'Desserts']",500,717
42,Prithvi Hotel                                     ,Mani Nagar,3.5,"['North Indian', 'Chinese', 'Italian']",700,652
43,Nini's Kitchen                                     ,Prahlad Nagar,4.5,"['North Indian', 'Italian', 'Fast Food']","1,000",1973
44,Dilliwale                                     ,Vastrapur,4.1,"['North Indian', 'Street Food']",600,852
45,Toritos                                     ,Ambavadi,4.1,"['Italian', 'Mexican', 'Continental']","1,000",860
46,Brick Kitchen - Five Petals                                     ,Ghatlodia,4.4,"['North Indian', 'Chinese', 'Continental']",900,1691
47,The Esplendido Cafe                                     ,Navrangpura,4.5,"['Cafe', 'American', 'Italian', 'Chinese', 'North Indian']",800,2342
48,Kabir Restaurant                                     ,Gurukul,4.1,"['North Indian', 'Fast Food', 'Chinese', 'Sandwich', 'Beverages']",700,3309
49,Cafe Piano - The Grand Bhagwati                                     ,"The Grand Bhagwati, Bodakdev",4.1,"['Cafe', 'North Indian', 'Italian']","1,000",1124
50,KFC                                     ,C G Road,4,"['Burger', 'Fast Food', 'Beverages']",450,880
51,Unlocked                                     ,Navrangpura,4.4,"['Cafe', 'Italian']","1,000",1402
52,SGD Food                                     ,"Sangath Mall, Chandkheda",3.5,"['North Indian', 'Chinese']",400,1477
53,Kailash Parbat                                     ,Prahlad Nagar,4,"['North Indian', 'Street Food', 'Maharashtrian']",700,1022
54,SandwichworkZ - The Fusion Street Cafe                                     ,Vastrapur,4.4,"['Cafe', 'North Indian']",700,1466
55,Ristretto - Behind the Rods                                     ,Navrangpura,4.5,"['Cafe', 'Italian']","1,000",1197
56,Urban Khichdi                                     ,Vastrapur,4.7,"['North Indian', 'Healthy Food']",600,970
57,Choice Snack Bar                                     ,C G Road,4.1,"['Fast Food', 'Street Food']",450,660
58,Dakshinayan                                     ,Satellite,4.4,['South Indian'],500,1091
59,Barbeque Nation                                     ,Memnagar,4.5,"['Mughlai', 'North Indian', 'BBQ']","1,600",2335
60,Bogarosa                                     ,Bodakdev,4.1,"['Continental', 'North Indian', 'Fast Food']","1,400",1392
61,Vittlebox                                     ,Navrangpura,4,"['North Indian', 'South Indian', 'Chinese', 'Italian', 'Sandwich']",400,1197
62,Vishalla                                     ,Vasna,4.4,['Gujarati'],"1,400",1268
63,Gordhan Thaal                                     ,Satellite,4.5,['Gujarati'],650,1933
64,Atithi                                     ,Bodakdev,4.1,['Gujarati'],600,1067
65,Makeba - The Lounge Cafe                                     ,Vastrapur,4.5,"['Cafe', 'Italian', 'North Indian']","1,000",989
66,Hyderabadi Hut                                     ,"Himalaya Mall, Gurukul",3.8,"['North Indian', 'Mughlai', 'Hyderabadi', 'Biryani']",850,830
67,Piperade - The Waterside                                     ,"The Waterside, Adalaj",4.1,"['Mexican', 'Chinese', 'Italian', 'Thai']","1,200",974
68,M.A.D By Tomato's                                     ,Bodakdev,4.4,"['Mexican', 'North Indian', 'Chinese', 'Italian', 'Asian', 'Beverages']","1,000",1006
69,Cuppuccino                                     ,Navrangpura,4,"['Cafe', 'Italian', 'Sandwich']",900,704
70,Java+ - Courtyard By Marriott                                     ,"Courtyard By Marriott, Satellite",4.1,['Cafe'],"1,000",1315
71,All The Perks Espresso Cafe                                     ,Navrangpura,4.1,"['Cafe', 'Fast Food']",800,860
72,Hotel Moti Mahal                                     ,Kalupur,3.9,"['North Indian', 'Chinese', 'Mughlai', 'Afghan', 'Roast Chicken', 'Beverages']",600,856
73,VarieTea                                     ,Prahlad Nagar,4.2,"['Cafe', 'Tea', 'Italian']",600,1320
74,Khichdi Etc                                     ,Prahlad Nagar,4.3,"['North Indian', 'Healthy Food']",700,800
75,Huber & Holly                                     ,Bodakdev,4.8,"['Desserts', 'Ice Cream']",700,1736
76,Poetry                                     ,Bodakdev,4.3,"['European', 'Continental']","1,200",1195
77,Tea Villa Cafe                                     ,Navrangpura,4.2,"['Cafe', 'Italian', 'Continental']","1,000",902
78,Agashiye - The House Of MG                                     ,Lal Darwaja,4.6,['Gujarati'],"1,900",1297
79,Kovallam                                     ,C G Road,4.6,['South Indian'],600,940
80,The Cafe Baraco                                     ,Navrangpura,4,"['Cafe', 'Italian', 'Pizza']","1,000",1825
81,@Mango                                     ,Bodakdev,4.4,"['North Indian', 'Italian', 'Mexican']","1,300",1850
82,The Grand Thakar                                     ,Satellite,4.4,"['Gujarati', 'North Indian', 'Chinese']",700,1125
83,Lollo Rosso                                     ,Navrangpura,4.7,"['Mexican', 'Mediterranean', 'Thai', 'Korean']",900,957
84,The Red Bistro                                     ,Bodakdev,4.5,"['Mexican', 'Italian', 'North Indian']","1,400",900
85,Parosa                                     ,Bodakdev,4,"['Italian', 'Mexican', 'North Indian']",800,1078
86,Choice Corner Restaurant                                     ,Kankaria,3.9,['North Indian'],700,887
87,New Freeze Land                                     ,C G Road,4.2,"['Sandwich', 'North Indian', 'Fast Food', 'Beverages']",300,957
88,Legends Of Punjab - By Pepperazi                                     ,Gulbai Tekra,4,['North Indian'],"1,000",624
89,Eleven 11 Restro Cafe                                     ,Bodakdev,4.2,"['Continental', 'Italian', 'North Indian']","1,000",1452
90,Yanki Sizzlers                                     ,Thaltej,4.9,"['Continental', 'Italian', 'Chinese']","1,400",4096
91,Melt In                                     ,Bodakdev,4.2,"['Fast Food', 'Desserts']",500,976
92,Capsicum                                     ,Gota,4.3,"['North Indian', 'Chinese', 'Fast Food']","1,000",1405
93,Rajwadu                                     ,Vejalpur,4.4,"['Gujarati', 'Rajasthani']","1,300",965
94,70 Degrees East                                     ,Thaltej,4.2,"['North Indian', 'Continental', 'Italian']","1,500",1151
95,Global Desi Tadkaa                                     ,"Gulmohar Park, Satellite",3.7,"['North Indian', 'Chinese', 'Fast Food']","1,000",1031
96,Kaffee - Mast Hai                                     ,"Shree Balaji Agora Mall, Chandkheda",4.2,"['Italian', 'Beverages', 'Continental', 'Fast Food']","1,000",953
97,The Jungle Bhookh                                     ,Ellis Bridge,3.9,"['North Indian', 'Chinese']",850,889
98,Salim Bhai                                     ,Sarkhej,4.6,"['Street Food', 'Fast Food']",250,723
99,Yash's GBT                                     ,Gulbai Tekra,4.3,"['Cafe', 'Italian', 'North Indian']",800,945
100,Queso Y Cafe                                     ,Navrangpura,4.2,"['Cafe', 'North Indian', 'Chinese', 'Beverages']",750,967
101,Momoman                                     ,Gurukul,4,"['Momos', 'Chinese']",500,934
102,Sasuji                                     ,C G Road,4.1,['Gujarati'],600,1009
103,Ahmedabad - 15                                     ,Vastrapur,3.6,"['North Indian', 'Chinese', 'Rajasthani', 'Street Food']",500,1113
104,Birmies                                     ,Vastrapur,4.2,"['Fast Food', 'Chinese', 'North Indian']",500,934
105,Turquoise Villa                                     ,Vastrapur,4,"['Italian', 'Cafe', 'Continental']","1,200",945
106,Highland Park                                     ,Memnagar,3.9,"['North Indian', 'Continental', 'Chinese']",600,1066
107,Spices & Herbs                                     ,Infocity,4,"['North Indian', 'Mexican', 'Chinese']",700,874
108,Prince Bhajipav                                     ,Bodakdev,3,"['North Indian', 'South Indian', 'Chinese']",300,1550
109,Divine Dine                                     ,"4D Square Mall, Chandkheda",3.9,"['North Indian', 'Chinese']",550,1105
110,Lijjat Khaman                                     ,Mani Nagar,4.6,['Street Food'],100,710
111,Posh Urban                                     ,Chandkheda,3.7,"['North Indian', 'Chinese', 'Fast Food']",550,1264
112,The Project Cafe                                     ,Ambavadi,4,"['Italian', 'Continental']",600,880
113,Jay Nilkanth Food                                     ,Navrangpura,3.5,"['North Indian', 'Gujarati', 'Chinese', 'Healthy Food', 'Fast Food']",400,1660
114,Sizzante - Sizzlers & More                                     ,Bodakdev,4.2,"['Continental', 'Chinese', 'North Indian', 'Seafood']","1,000",872
115,Vipul Dudhia Gajara                                     ,Navrangpura,4.5,['Mithai'],200,662
116,Apna Punjab Parattha                                     ,Vastrapur,4.2,"['North Indian', 'Street Food']",300,1138
117,Taste Of Mumbai - Bombay Street Cafe                                     ,Prahlad Nagar,4.1,"['South Indian', 'Fast Food', 'Street Food']",450,847
118,Stuff's Food                                     ,Naranpura,4.4,['North Indian'],700,860
119,Coffee Culture                                     ,Satellite,4.5,"['Cafe', 'Fast Food']",700,840
120,Olives Restaurant                                     ,Bodakdev,3.6,"['North Indian', 'Chinese', 'Italian']","1,000",852
121,The Secret Kitchen                                     ,Bodakdev,4.2,"['North Indian', 'Chinese', 'Gujarati', 'Beverages']","2,000",790
122,Sphere Lounge - Hotel Ramada                                     ,"Ramada, Prahlad Nagar",4.2,['Cafe'],"1,100",807
123,Mainland China                                     ,"Gulmohar Park, Satellite",4.1,"['Japanese', 'Thai', 'Asian', 'Chinese', 'Sushi']","1,200",799
124,Hocco Eatery                                     ,Vastrapur,4,"['Fast Food', 'Biryani', 'Beverages']",600,725
125,SKYZ Restaurant & Banquet                                     ,Prahlad Nagar,3.9,"['North Indian', 'Italian', 'Continental', 'Beverages', 'Fast Food']","1,000",798
126,Havmor Restaurant                                     ,Navrangpura,4.2,"['North Indian', 'Chinese', 'Mexican', 'Ice Cream']","1,000",739
127,Ratatouille - By Pepperazzi                                     ,Bodakdev,4.1,"['Italian', 'Continental']","1,000",797
128,Little French House                                     ,Navrangpura,4.3,['Cafe'],"1,000",646
129,Curries                                     ,Bodakdev,4.1,"['North Indian', 'Continental', 'Chinese']","1,300",757
130,Terracotta                                     ,Airport Gandhinagar Highway,4.2,"['North Indian', 'Italian', 'Chinese']","1,000",746
131,Meritorious                                     ,Swapneel 5,3.9,"['North Indian', 'Italian', 'Chinese']",700,812
132,Dheemi Aanch                                     ,Bodakdev,4,"['North Indian', 'Mughlai', 'Kebab']",800,778
133,The Chocolate Room                                     ,Navrangpura,4.1,"['Cafe', 'Italian', 'Mexican', 'Desserts']",900,698
134,Mirch Masala                                     ,Bodakdev,4.1,['North Indian'],"1,000",758
135,Little Italy                                     ,Bodakdev,4.2,"['Italian', 'Mexican']","1,100",710
136,Pizza Hut                                     ,C G Road,4,"['Pizza', 'Fast Food', 'Finger Food', 'American']",600,626
137,Dilkhush Food Point                                     ,Airport Gandhinagar Highway,2.6,"['North Indian', 'Street Food']",350,935
138,Masty Foods - The Original                                     ,Satellite,3.9,"['North Indian', 'Chinese']",550,766
139,Whatta Waffle!                                     ,Bodakdev,4.4,"['Desserts', 'Fast Food']",400,557
140,The Square - Hotel Novotel                                     ,"Hotel Novotel, Satellite",4.2,"['North Indian', 'Mughlai', 'Continental']","2,000",728
141,Kesar Foods                                     ,Vastrapur,4.2,"['Biryani', 'North Indian', 'Maharashtrian']",400,732
142,Dravida - The Fern                                     ,"The Fern, Sola",4.7,"['Andhra', 'Konkan', 'Kerala', 'South Indian']","1,600",729
143,Upri Manzil                                     ,Vastrapur,4.1,"['North Indian', 'Italian', 'Continental']","1,500",688
144,Paramount Restaurant                                     ,Bhadra,3.7,"['North Indian', 'Chinese', 'Seafood', 'Continental']",800,832
145,Faasos                                     ,Vastrapur,3.9,"['Fast Food', 'North Indian', 'Biryani', 'Rolls', 'Wraps']",600,618
146,Juggernaut                                     ,Bodakdev,4.2,"['Mexican', 'North Indian', 'Italian']",900,710
147,Collage - Hyatt                                     ,"Hyatt, Vastrapur",4.1,"['Mughlai', 'North Indian', 'Continental']","2,000",667
148,Naturals                                     ,Navrangpura,4.6,"['Desserts', 'Ice Cream']",150,778
149,Mewad                                     ,Navrangpura,4,"['Fast Food', 'Sandwich']",250,717
150,7Violettes                                     ,Navrangpura,4.3,"['Desserts', 'Bakery']",500,650
151,The Big F                                     ,Vastrapur,4,"['Rolls', 'Fast Food', 'Beverages']",400,820
152,Caffix - The Tech Cafe                                     ,Vastrapur,4.1,"['Chinese', 'Continental', 'North Indian', 'Beverages']",900,703
153,Falashin Juices & Dishes                                     ,Bodakdev,4.4,"['Healthy Food', 'Beverages', 'Italian']",650,686
154,Non Veg Express                                     ,Chandkheda,2.6,"['North Indian', 'Mughlai']",450,699
155,Karnavati Snacks                                     ,Satellite,3.5,"['Fast Food', 'Street Food']",300,857
156,The Garden Cafe - The Fern                                     ,"The Fern, Sola",4.3,"['North Indian', 'South Indian']","2,000",658
157,Wagh Bakri Tea Lounge                                     ,"Aryan Work Spaces, Gulbai tekra",4.1,"['Cafe', 'Tea']",800,681
158,Cafe Soul Square                                     ,Bodakdev,4,"['Cafe', 'Italian', 'North Indian', 'Desserts', 'Coffee', 'Beverages']",850,682
159,P. Bhagat Tarachand                                     ,Prahlad Nagar,3.8,"['North Indian', 'Chinese', 'Sindhi']",700,697
160,No Mad Baker - The Pizzeria                                     ,Vastrapur,4.3,"['Pizza', 'Fast Food']",750,650
161,Pabrai's Fresh & Naturelle                                     ,Vastrapur,4.6,"['Ice Cream', 'Desserts']",250,676
162,Shree Marutinandan                                     ,Prahlad Nagar,3.6,"['North Indian', 'Chinese', 'Gujarati', 'Desserts']",650,824
163,Marky Momos                                     ,"4D Square Mall, Chandkheda",3.9,"['Momos', 'Chinese']",700,560
164,La Patron Cafe                                     ,C G Road,4.3,"['Cafe', 'Fast Food', 'Beverages', 'Mexican', 'Desserts', 'Italian', 'Sandwich']",800,442
165,Zen Cafe                                     ,Navrangpura,4.2,"['Cafe', 'Fast Food']",800,589
166,Farki                                     ,Memnagar,4.5,"['Ice Cream', 'Beverages']",300,772
167,Masala Canteen                                     ,Vastrapur,4.3,['North Indian'],900,655
168,Timpani - Radisson Blu                                     ,"Radisson Blu, Ambavadi",4,"['North Indian', 'Italian', 'Chinese', 'Continental']","1,800",545
169,MoMo Café - Courtyard By Marriott                                     ,"Courtyard By Marriott, Satellite",4.1,"['North Indian', 'South Indian', 'Asian', 'Continental']","1,400",647
170,Fresh Roast - Mani Mansion                                     ,Paldi,4.3,"['North Indian', 'Italian']","1,000",583
171,Rangeen                                     ,Ambavadi,4.4,"['European', 'Modern Indian', 'Continental', 'Italian']","1,800",641
172,Tinello - Hyatt Regency                                     ,"Hyatt Regency, Ashram Road",4.5,['Italian'],"2,500",632
173,Kosho's Sauces & Sausages                                     ,Satellite,4.1,"['Hot dogs', 'Fast Food', 'North Indian', 'Desserts', 'Beverages']",300,573
174,Shambhu's Coffee Bar                                     ,Gulbai Tekra,3.8,"['Cafe', 'Sandwich', 'Fast Food']",600,631
175,Foody Buddy                                     ,Prahlad Nagar,4,"['North Indian', 'Fast Food']",600,735
176,Cocoa Drama                                     ,Vastrapur,4.2,"['Bakery', 'Desserts', 'Beverages']",700,500
177,KBOB'S                                     ,Gurukul,3.5,"['North Indian', 'Mughlai', 'Chinese', 'Biryani']",600,627
178,Season 9                                     ,"Shivalik Yash, Naranpura",3.7,"['North Indian', 'Chinese', 'Continental', 'Beverages', 'Fast Food']",700,757
179,Toran Dining Hall                                     ,Ashram Road,4.1,['Gujarati'],600,649
180,Soulmate - Make Moments Memorable                                     ,Navrangpura,4.6,"['Italian', 'Continental']","1,500",614
181,Juno's Pizza                                     ,Bodakdev,4.3,"['Pizza', 'Italian', 'Fast Food']",650,483
182,Masty                                     ,Satellite,3.9,"['North Indian', 'Mughlai', 'Chinese']",600,615
183,Sale and Pepe                                     ,Thaltej,4.5,['Italian'],"1,200",528
184,Gurukrupa Food Zone                                     ,Airport Gandhinagar Highway,3.6,"['North Indian', 'Chinese']",400,786
185,Roti & Spoon                                     ,Vastrapur,4,"['North Indian', 'Continental', 'Italian', 'Mexican', 'Asian', 'Mughlai', 'Beverages']",750,570
186,Sizzling Shihai                                     ,"Shree Balaji Agora Mall, Chandkheda",4.1,"['Thai', 'Chinese']","1,200",526
187,Annkut                                     ,Prahlad Nagar,4.1,['Gujarati'],750,555
188,Barbeque World                                     ," Sigma Legacy Building, Vastrapur",3.6,"['North Indian', 'Chinese', 'BBQ', 'Beverages']","1,000",542
189,Trupti Ice Cream Parlour                                     ,"Sector 16, Gandhinagar",3.9,"['Desserts', 'Ice Cream']",250,597
190,Gamysticafe                                     ,Navrangpura,4.2,"['Cafe', 'Italian', 'North Indian', 'Burger', 'Sandwich', 'Beverages']",800,575
191,Aryan Fast Food                                     ,Chandkheda,3.9,"['Chinese', 'North Indian']",400,736
192,Dhoom Dhaam                                     ,Bodakdev,4.3,"['Modern Indian', 'North Indian', 'Parsi']","1,100",565
193,Tephra Lounge                                     ,Bodakdev,4.2,"['North Indian', 'Italian', 'Mexican', 'Thai']",600,463
194,Alpine Restaurant & Banquet                                     ,Ellis Bridge,3.5,"['North Indian', 'Chinese']",800,684
195,Crazy Noodles                                     ,"Camps Corner 2, Prahlad Nagar",4.1,['Chinese'],800,557
196,M.L.F Franco                                     ,Navrangpura,4.1,"['Fast Food', 'Beverages']",300,563
197,Shree Mahendra Thaal                                     ,Thaltej,4,['Gujarati'],600,653
198,Hoglatto                                     ,Vastrapur,4.8,"['Desserts', 'Bakery']",400,512
199,Bon Homie                                     ,Gurukul,3.9,"['North Indian', 'Chinese', 'Mexican']",600,576
200,Creamoholic Cafe & Restaurant                                     ,Airport Gandhinagar Highway,4,"['Cafe', 'North Indian', 'Continental']",700,606
201,Rasila's Kitchen                                     ,Bodakdev,4.1,"['North Indian', 'Fast Food', 'Mughlai']",800,653
202,Twisted Mazzo                                     ,Bodakdev,4,"['Mexican', 'Italian', 'American']",650,542
203,Neelkamal Snacks And Coffee Bar                                     ,Gurukul,4,"['Chinese', 'Sandwich', 'Street Food']",450,597
204,And Me Cafe                                     ,Bodakdev,4.1,"['Cafe', 'Italian', 'Mexican']","1,000",538
205,Tick Tock                                     ,Chandkheda,3.7,"['North Indian', 'Fast Food', 'Desserts', 'Beverages']",600,516
206,Gormoh                                     ,Bodakdev,3.9,"['North Indian', 'Chinese', 'Fast Food']",900,528
207,Aureate - El Dorado                                     ,Navrangpura,4.2,"['Chinese', 'North Indian', 'Continental']",700,523
208,Pizza Tune                                     ,Gota,3.6,"['Pizza', 'Fast Food']",400,643
209,Dangee Dums Yums                                     ," Sigma Legacy Building, Vastrapur",3.9,"['Bakery', 'Beverages']",400,497
210,The Mad House Café                                     ,Gulbai Tekra,4.1,"['Cafe', 'Sandwich', 'Burger', 'Fast Food', 'Desserts', 'Beverages']",900,507
211,The Indian Story                                     ,Chandkheda,3.8,"['North Indian', 'Mughlai', 'Chinese']",900,544
212,Mehmaan                                     ,"Shivalik Yash, Naranpura",4,"['Gujarati', 'North Indian']",500,615
213,Deepraj De Kulche                                     ,Prahlad Nagar,3.7,['North Indian'],650,502
214,Santushti Shakes & More                                     ,Bodakdev,4.3,"['Beverages', 'Ice Cream']",350,497
215,Evening Post                                     ,"Shivalik Yash, Naranpura",3.8,"['North Indian', 'Chinese']",800,607
216,Spirit O Soul                                     ,"Shree Balaji Agora Mall, Chandkheda",4,"['Italian', 'Mexican']","1,000",489
217,The Egg Eatery - Eggstremely Delicious                                     ,Mani Nagar,4.3,"['North Indian', 'Fast Food']",600,486
218,Foodinn                                     ,Ashram Road,3.9,"['North Indian', 'Hyderabadi']",900,570
219,Brown Burger Co                                     ,Naranpura,4,"['Fast Food', 'Burger', 'Sandwich', 'Pizza', 'Beverages']",250,611
220,Good Thymes                                     ,Bodakdev,4.2,['Cafe'],850,491
221,The Dark Roast                                     ,Prahlad Nagar,4.1,"['Cafe', 'Italian']",850,488
222,Balan Dosa                                     ,Manek Chowk,4.5,"['South Indian', 'Fast Food']",300,513
223,Modi Sandwich & Pizza                                     ,Paldi,3.7,"['Sandwich', 'Fast Food', 'Beverages', 'Italian']",300,585
224,Simran                                     ,Hansol,3.9,"['Mughlai', 'North Indian', 'Chinese']",700,540
225,Firangi Zaayka                                     ,Chandkheda,3.8,"['Asian', 'Chinese', 'North Indian', 'Biryani']",800,580
226,Grill'd 'n' More                                     ,Bodakdev,4.2,"['Fast Food', 'Burger']",550,485
227,Cryo Lab                                     ,Ellis Bridge,4.5,"['Desserts', 'Ice Cream', 'Beverages']",300,479
228,Dhabagiri                                     ,Vastrapur,4.3,"['North Indian', 'Street Food', 'Pizza']",750,469
229,Epitome                                     ,Isanpur,4.1,"['Chinese', 'Continental', 'North Indian']","1,000",555
230,Palms Kitchen - Fairfield By Marriott                                     ,"Fairfield By Mariott, Ashram Road",4.2,"['Asian', 'North Indian']","1,500",457
231,The Pancake Story                                     ,Bodakdev,4.4,"['Fast Food', 'Desserts', 'Beverages']",500,451
232,Page One                                     ,Vastrapur,4.1,"['North Indian', 'Italian', 'Chinese', 'Thai']","1,000",472
233,Dinner Bell  2                                     ,Gurukul,4,"['North Indian', 'Continental', 'Chinese']",600,573
234,Mitti Chulha                                     ,Bodakdev,3.9,"['North Indian', 'Chinese', 'Fast Food']",800,517
235,Iqbal Hotel                                     ,Jamalpur,3.9,"['North Indian', 'Mughlai']",600,585
236,London Bubble Co.                                     ,Prahlad Nagar,4.5,"['Desserts', 'Beverages']",400,599
237,TandoorworkZ                                     ,C G Road,4,"['Fast Food', 'North Indian']",650,463
238,Foodsta                                     ,Airport Gandhinagar Highway,3.3,"['North Indian', 'Chinese', 'Fast Food']",400,613
239,Absolut Punjab                                     ,Satellite,3.9,"['North Indian', 'Chinese', 'Mughlai', 'Beverages']","1,000",411
240,Burgerlicious                                     ,Navrangpura,4.3,"['Burger', 'Wraps', 'Fast Food']",400,415
241,The Grill Street                                     ,Satellite,4,['North Indian'],800,447
242,Cheers                                     ,C G Road,4.3,"['Beverages', 'Desserts', 'Ice Cream', 'Juices']",450,481
243,Jay Ambe Thali                                     ,Thaltej,3.9,['North Indian'],300,617
244,Sankalp                                     ,Prahlad Nagar,3.9,['South Indian'],650,475
245,Gloria Restaurant                                     ,Satellite,3.8,"['Mexican', 'Continental', 'North Indian', 'Chinese', 'Fast Food']",700,547
246,Hotel The Lotus Park                                     ,Paldi,3.8,"['North Indian', 'Chinese']",700,619
247,Prime Dine Restaurant                                     ,Satellite,4,"['North Indian', 'Chinese', 'Italian']",750,519
248,Bayleaf - Courtyard By Marriott                                     ,"Courtyard By Marriott, Satellite",4.4,['North Indian'],"2,200",443
249,TG’s - The Oriental Grill - Hyatt                                     ,"Hyatt, Vastrapur",4.7,"['Chinese', 'Japanese']","2,200",390
250,Kolkata Konnection                                     ,Bodakdev,3.7,"['Bengali', 'North Indian', 'Mughlai']",550,431
251,Brothers Brand                                     ,Vastrapur,4,"['North Indian', 'Italian', 'Chinese', 'Gujarati', 'Mughlai', 'Biryani']",800,427
252,US Pizza                                     ,Navrangpura,3.7,"['Pizza', 'Fast Food']",500,511
253,Aagrah                                     ,"Shree Balaji Agora Mall, Chandkheda",4.1,['Gujarati'],800,413
254,Essence - Crowne Plaza                                     ,"Crowne Plaza, Satellite",4.2,"['Continental', 'North Indian']","1,400",409
255,Deeana                                     ,Bodakdev,3.7,"['North Indian', 'Asian', 'Italian', 'Chinese', 'Beverages']",800,416
256,Royal Punjab Paratha                                     ,C G Road,4.2,['North Indian'],300,490
257,Masala County                                     ,"Shree Balaji Agora Mall, Chandkheda",4.1,['North Indian'],"1,100",404
258,Saffron                                     ,Navrangpura,3.6,"['North Indian', 'Biryani', 'Beverages']",800,365
259,Indian Swag                                     ,Prahlad Nagar,4,"['North Indian', 'Chinese', 'Continental']",800,394
260,Mumbai Food Court                                     ,Bodakdev,3.9,"['Street Food', 'Maharashtrian']",250,529
261,Subway                                     ,Infocity,3.4,"['Healthy Food', 'Sandwich', 'Salad']",500,530
